Phylum	Category	Percentage	Count	Timepoint	SampleType
Bacteroidetes	Signal transduction mechanisms	0.056910569	7	TP8	Soil
Acidobacteria	Signal transduction mechanisms	0.052287582	8	TP9	Soil
Cyanobacteria	Signal transduction mechanisms	0.052287582	8	TP9	Soil
Firmicutes	Signal transduction mechanisms	0.052287582	8	TP9	Soil
Firmicutes	Signal transduction mechanisms	0.025396825	8	TP8	Rhizosphere
Proteobacteria	Signal transduction mechanisms	0.041269841	13	TP8	Rhizosphere
Bacteroidetes	Signal transduction mechanisms	0.111111111	17	TP9	Soil
Chloroflexi	Signal transduction mechanisms	0.053968254	17	TP8	Rhizosphere
Proteobacteria	Signal transduction mechanisms	0.195121951	24	TP8	Soil
Actinobacteria	Signal transduction mechanisms	0.183006536	28	TP9	Soil
Firmicutes	Signal transduction mechanisms	0.174698795	29	TP9	Rhizosphere
Proteobacteria	Signal transduction mechanisms	0.289156627	48	TP9	Rhizosphere
Proteobacteria	Signal transduction mechanisms	0.346405229	53	TP9	Soil
Actinobacteria	Signal transduction mechanisms	0.577235772	71	TP8	Soil
Actinobacteria	Signal transduction mechanisms	0.493975904	82	TP9	Rhizosphere
Actinobacteria	Signal transduction mechanisms	0.847619048	267	TP8	Rhizosphere
Proteobacteria	Intracellular trafficking, secretion, and vesicular transport	0.022222222	1	TP8	Soil
Verrucomicrobia	Intracellular trafficking, secretion, and vesicular transport	0.022222222	1	TP8	Soil
Atribacteria	Intracellular trafficking, secretion, and vesicular transport	0.016129032	1	TP9	Soil
Elusimicrobia	Intracellular trafficking, secretion, and vesicular transport	0.016129032	1	TP9	Soil
Firmicutes	Intracellular trafficking, secretion, and vesicular transport	0.016129032	1	TP9	Soil
Gemmatimonadetes	Intracellular trafficking, secretion, and vesicular transport	0.016129032	1	TP9	Soil
Verrucomicrobia	Intracellular trafficking, secretion, and vesicular transport	0.016129032	1	TP9	Soil
Latescibacteria	Intracellular trafficking, secretion, and vesicular transport	0.015625	1	TP9	Rhizosphere
Cyanobacteria	Intracellular trafficking, secretion, and vesicular transport	0.015625	1	TP9	Rhizosphere
Tenericutes	Intracellular trafficking, secretion, and vesicular transport	0.005813953	1	TP8	Rhizosphere
Firmicutes	Intracellular trafficking, secretion, and vesicular transport	0.044444444	2	TP8	Soil
Bacteroidetes	Intracellular trafficking, secretion, and vesicular transport	0.032258065	2	TP9	Soil
candidate division NC10	Intracellular trafficking, secretion, and vesicular transport	0.032258065	2	TP9	Soil
Chloroflexi	Intracellular trafficking, secretion, and vesicular transport	0.032258065	2	TP9	Soil
Planctomycetes	Intracellular trafficking, secretion, and vesicular transport	0.032258065	2	TP9	Soil
Acidobacteria	Intracellular trafficking, secretion, and vesicular transport	0.011627907	2	TP8	Rhizosphere
Chloroflexi	Intracellular trafficking, secretion, and vesicular transport	0.066666667	3	TP8	Soil
Cyanobacteria	Intracellular trafficking, secretion, and vesicular transport	0.048387097	3	TP9	Soil
Nitrospinae	Intracellular trafficking, secretion, and vesicular transport	0.048387097	3	TP9	Soil
Bacteroidetes	Intracellular trafficking, secretion, and vesicular transport	0.046875	3	TP9	Rhizosphere
Firmicutes	Intracellular trafficking, secretion, and vesicular transport	0.01744186	3	TP8	Rhizosphere
Armatimonadetes	Intracellular trafficking, secretion, and vesicular transport	0.064516129	4	TP9	Soil
Chloroflexi	Intracellular trafficking, secretion, and vesicular transport	0.023255814	4	TP8	Rhizosphere
Firmicutes	Intracellular trafficking, secretion, and vesicular transport	0.09375	6	TP9	Rhizosphere
Acidobacteria	Intracellular trafficking, secretion, and vesicular transport	0.112903226	7	TP9	Soil
Actinobacteria	Intracellular trafficking, secretion, and vesicular transport	0.209677419	13	TP9	Soil
Proteobacteria	Intracellular trafficking, secretion, and vesicular transport	0.081395349	14	TP8	Rhizosphere
Proteobacteria	Intracellular trafficking, secretion, and vesicular transport	0.306451613	19	TP9	Soil
Proteobacteria	Intracellular trafficking, secretion, and vesicular transport	0.328125	21	TP9	Rhizosphere
Actinobacteria	Intracellular trafficking, secretion, and vesicular transport	0.5	32	TP9	Rhizosphere
Actinobacteria	Intracellular trafficking, secretion, and vesicular transport	0.844444444	38	TP8	Soil
Actinobacteria	Intracellular trafficking, secretion, and vesicular transport	0.860465116	148	TP8	Rhizosphere
Chloroflexi	Defense mechanisms	0.052631579	1	TP8	Soil
Cyanobacteria	Defense mechanisms	0.052631579	1	TP8	Soil
Firmicutes	Defense mechanisms	0.052631579	1	TP8	Soil
Planctomycetes	Defense mechanisms	0.052631579	1	TP8	Soil
Firmicutes	Defense mechanisms	0.022222222	1	TP9	Soil
Ignavibacteriae	Defense mechanisms	0.022222222	1	TP9	Soil
Chloroflexi	Defense mechanisms	0.010752688	1	TP8	Rhizosphere
Tenericutes	Defense mechanisms	0.010752688	1	TP8	Rhizosphere
Planctomycetes	Defense mechanisms	0.044444444	2	TP9	Soil
Bacteroidetes	Defense mechanisms	0.035087719	2	TP9	Rhizosphere
Cyanobacteria	Defense mechanisms	0.021505376	2	TP8	Rhizosphere
Acidobacteria	Defense mechanisms	0.066666667	3	TP9	Soil
Cyanobacteria	Defense mechanisms	0.066666667	3	TP9	Soil
Nitrospirae	Defense mechanisms	0.066666667	3	TP9	Soil
Bacteroidetes	Defense mechanisms	0.088888889	4	TP9	Soil
Proteobacteria	Defense mechanisms	0.043010753	4	TP8	Rhizosphere
Chloroflexi	Defense mechanisms	0.111111111	5	TP9	Soil
Firmicutes	Defense mechanisms	0.053763441	5	TP8	Rhizosphere
Proteobacteria	Defense mechanisms	0.315789474	6	TP8	Soil
Actinobacteria	Defense mechanisms	0.473684211	9	TP8	Soil
Actinobacteria	Defense mechanisms	0.222222222	10	TP9	Soil
Proteobacteria	Defense mechanisms	0.288888889	13	TP9	Soil
Firmicutes	Defense mechanisms	0.228070175	13	TP9	Rhizosphere
Actinobacteria	Defense mechanisms	0.333333333	19	TP9	Rhizosphere
Proteobacteria	Defense mechanisms	0.403508772	23	TP9	Rhizosphere
Actinobacteria	Defense mechanisms	0.860215054	80	TP8	Rhizosphere
Bacteroidetes	Mobilome: prophages, transposons	0.027777778	1	TP8	Soil
Bacteroidetes	Mobilome: prophages, transposons	0.019230769	1	TP9	Rhizosphere
Chlorobi	Mobilome: prophages, transposons	0.015625	1	TP9	Soil
Cloacimonetes	Mobilome: prophages, transposons	0.015625	1	TP9	Soil
Deinococcus-Thermus	Mobilome: prophages, transposons	0.015625	1	TP9	Soil
Nitrospirae	Mobilome: prophages, transposons	0.015625	1	TP9	Soil
Verrucomicrobia	Mobilome: prophages, transposons	0.015625	1	TP9	Soil
Cyanobacteria	Mobilome: prophages, transposons	0.010416667	1	TP8	Rhizosphere
Cyanobacteria	Mobilome: prophages, transposons	0.055555556	2	TP8	Soil
Firmicutes	Mobilome: prophages, transposons	0.055555556	2	TP8	Soil
Planctomycetes	Mobilome: prophages, transposons	0.055555556	2	TP8	Soil
Cyanobacteria	Mobilome: prophages, transposons	0.038461538	2	TP9	Rhizosphere
Bacteroidetes	Mobilome: prophages, transposons	0.03125	2	TP9	Soil
Firmicutes	Mobilome: prophages, transposons	0.020833333	2	TP8	Rhizosphere
Firmicutes	Mobilome: prophages, transposons	0.046875	3	TP9	Soil
Planctomycetes	Mobilome: prophages, transposons	0.046875	3	TP9	Soil
Proteobacteria	Mobilome: prophages, transposons	0.076923077	4	TP9	Rhizosphere
Cyanobacteria	Mobilome: prophages, transposons	0.078125	5	TP9	Soil
Chloroflexi	Mobilome: prophages, transposons	0.09375	6	TP9	Soil
Actinobacteria	Mobilome: prophages, transposons	0.140625	9	TP9	Soil
Chloroflexi	Mobilome: prophages, transposons	0.09375	9	TP8	Rhizosphere
Proteobacteria	Mobilome: prophages, transposons	0.277777778	10	TP8	Soil
Proteobacteria	Mobilome: prophages, transposons	0.104166667	10	TP8	Rhizosphere
Firmicutes	Mobilome: prophages, transposons	0.211538462	11	TP9	Rhizosphere
Actinobacteria	Mobilome: prophages, transposons	0.527777778	19	TP8	Soil
Proteobacteria	Mobilome: prophages, transposons	0.484375	31	TP9	Soil
Actinobacteria	Mobilome: prophages, transposons	0.653846154	34	TP9	Rhizosphere
Actinobacteria	Mobilome: prophages, transposons	0.770833333	74	TP8	Rhizosphere
